Date	NVDAClose	Date	VGTClose
1/9/2018	5.5485	1/9/2018	171.880005
1/8/2018	5.55	1/8/2018	172.320007
1/5/2018	5.385	1/5/2018	171.5
1/4/2018	5.33975	1/4/2018	169.690002
1/3/2018	5.31175	1/3/2018	168.720001
1/2/2018	4.98375	1/2/2018	166.979996
12/29/2017	4.8375	12/29/2017	164.729996
12/28/2017	4.935	12/28/2017	165.589996
12/27/2017	4.92925	12/27/2017	165.440002
12/26/2017	4.936	12/26/2017	165.179993
12/22/2017	4.88175	12/22/2017	166.339996
12/21/2017	4.89725	12/21/2017	166.539993
12/20/2017	4.92	12/20/2017	166.960007
12/19/2017	4.90275	12/19/2017	167.139999
12/18/2017	4.9475	12/18/2017	168.029999
12/15/2017	4.789	12/15/2017	166.460007
12/14/2017	4.66175	12/14/2017	164.570007
12/13/2017	4.6545	12/13/2017	165.160004
12/12/2017	4.771	12/12/2017	164.990005
12/11/2017	4.8665	12/11/2017	165.410004
12/8/2017	4.78725	12/8/2017	164.100006
12/7/2017	4.79975	12/7/2017	163.479996
12/6/2017	4.7315	12/6/2017	162.309998
12/5/2017	4.6935	12/5/2017	161.279999
12/4/2017	4.6665	12/4/2017	160.910004
12/1/2017	4.942	12/1/2017	164.100006
11/30/2017	5.01775	11/30/2017	165.009995
11/29/2017	4.9105	11/29/2017	163.649994
11/28/2017	5.26775	11/28/2017	168.009995
11/27/2017	5.3535	11/27/2017	167.589996
11/24/2017	5.424	11/24/2017	167.770004
11/22/2017	5.37325	11/22/2017	166.809998
11/21/2017	5.40125	11/21/2017	167.25
11/20/2017	5.352	11/20/2017	165.220001
11/17/2017	5.284	11/17/2017	164.639999
11/16/2017	5.29025	11/16/2017	165.479996
11/15/2017	5.2495	11/15/2017	163.229996
11/14/2017	5.3545	11/14/2017	164.479996
11/13/2017	5.31575	11/13/2017	164.770004
11/10/2017	5.4035	11/10/2017	164.800003
11/9/2017	5.133	11/9/2017	164.740005
11/8/2017	5.229	11/8/2017	166.220001
11/7/2017	5.30075	11/7/2017	165.259995
11/6/2017	5.24075	11/6/2017	165.330002
11/3/2017	5.21725	11/3/2017	164.589996
11/2/2017	5.1485	11/2/2017	163.289993
11/1/2017	5.18	11/1/2017	163.169998
10/31/2017	5.17025	10/31/2017	163.229996
10/30/2017	5.096	10/30/2017	162.520004
10/27/2017	5.0465	10/27/2017	161.990005
10/26/2017	4.89225	10/26/2017	157.960007
10/25/2017	4.8415	10/25/2017	157.300003
10/24/2017	4.967	10/24/2017	157.880005
10/23/2017	4.9155	10/23/2017	157.369995
10/20/2017	4.9225	10/20/2017	157.940002
10/19/2017	4.945	10/19/2017	156.889999
10/18/2017	4.9395	10/18/2017	157.410004
10/17/2017	4.94375	10/17/2017	156.869995
